iter	Passed	Remaining
0	57	57221
1	57	28841
2	58	19320
3	58	14563
4	58	11709
5	59	9810
6	59	8448
7	59	7426
8	60	6630
9	60	5995
10	60	5475
11	61	5044
12	61	4679
13	62	4368
14	62	4096
15	62	3860
16	63	3649
17	63	3466
18	63	3300
19	64	3152
20	64	3014
21	65	2889
22	65	2777
23	65	2672
24	66	2574
25	66	2485
26	66	2402
27	66	2325
28	67	2253
29	67	2186
30	67	2124
31	68	2065
32	68	2010
33	68	1959
34	69	1910
35	69	1866
36	70	1823
37	70	1784
38	70	1747
39	71	1709
40	71	1673
41	71	1638
42	72	1609
43	72	1576
44	72	1546
45	73	1517
46	73	1489
47	73	1463
48	74	1438
49	74	1413
50	74	1389
51	74	1366
52	75	1344
53	75	1323
54	75	1303
55	76	1283
56	76	1264
57	76	1247
58	77	1229
59	77	1211
60	77	1195
61	77	1178
62	78	1163
63	78	1147
64	78	1134
65	79	1120
66	79	1107
67	79	1093
68	80	1080
69	80	1068
70	80	1056
71	81	1045
72	81	1033
73	81	1022
74	81	1011
75	82	999
76	82	989
77	82	979
78	83	969
79	83	959
80	83	949
81	84	940
82	84	929
83	84	920
84	84	911
85	84	902
86	85	894
87	85	886
88	85	879
89	86	872
90	86	864
91	87	858
92	87	851
93	87	843
94	87	836
95	88	829
96	88	823
97	88	816
98	88	809
99	89	802
100	89	796
101	89	789
102	90	783
103	90	778
104	90	772
105	90	766
106	91	760
107	91	755
108	91	749
109	91	744
110	92	738
111	92	733
112	92	728
113	93	723
114	93	718
115	93	713
116	93	707
117	94	702
118	94	698
119	94	693
120	94	689
121	95	683
122	95	679
123	95	675
124	95	670
125	96	666
126	96	662
127	96	657
128	96	653
129	97	650
130	97	646
131	97	642
132	98	639
133	98	635
134	98	631
135	98	627
136	99	624
137	99	620
138	99	616
139	99	613
140	100	609
141	100	605
142	100	601
143	100	598
144	100	595
145	101	592
146	101	589
147	101	586
148	102	583
149	102	580
150	102	577
151	102	573
152	103	570
153	103	569
154	103	566
155	104	563
156	104	560
157	104	557
158	104	555
159	105	552
160	105	549
161	105	546
162	105	544
163	106	541
164	106	538
165	106	537
166	107	534
167	107	531
168	107	529
169	107	527
170	108	524
171	108	522
172	108	519
173	108	517
174	109	514
175	109	512
176	109	510
177	109	507
178	110	505
179	110	503
180	110	501
181	111	499
182	111	496
183	111	495
184	111	493
185	112	491
186	112	489
187	112	487
188	113	485
189	113	483
190	113	481
191	113	479
192	114	477
193	114	475
194	114	473
195	114	471
196	115	469
197	115	467
198	115	466
199	116	464
200	116	462
201	116	460
202	116	459
203	117	457
204	117	455
205	117	454
206	118	452
207	118	450
208	118	449
209	119	447
210	119	446
211	119	444
212	119	442
213	120	440
214	120	439
215	120	437
216	120	435
217	121	434
218	121	433
219	121	431
220	122	430
221	122	428
222	122	427
223	122	425
224	123	424
225	123	422
226	123	421
227	123	419
228	124	418
229	124	416
230	124	415
231	124	413
232	125	412
233	125	410
234	125	409
235	126	407
236	126	406
237	126	405
238	126	404
239	127	402
240	127	401
241	127	399
242	127	398
243	128	397
244	128	396
245	128	394
246	129	393
247	129	392
248	129	391
249	130	390
250	130	388
251	130	387
252	130	386
253	131	385
254	131	383
255	131	382
256	131	381
257	132	380
258	132	379
259	132	378
260	133	376
261	133	375
262	133	374
263	134	373
264	134	372
265	134	371
266	134	369
267	135	368
268	135	367
269	135	366
270	135	365
271	136	364
272	136	363
273	136	362
274	136	361
275	137	359
276	137	358
277	137	357
278	138	356
279	138	355
280	138	354
281	138	353
282	139	352
283	139	351
284	139	350
285	139	349
